,angle,direction,average_height,smoothed_height,double_smoothed_height
159,58,0,3.36,3.3077777777777775,3.098888888888889
160,59,0,3.36,3.36,3.177222222222222
161,60,0,3.973333333333333,3.5644444444444443,3.3577777777777773
162,61,0,5.746666666666666,4.359999999999999,3.833888888888889
163,62,0,3.6999999999999997,4.473333333333334,3.916666666666666
164,63,0,3.44,4.295555555555555,3.9299999999999997
165,64,0,3.4766666666666666,3.538888888888889,3.949444444444444
166,65,0,3.8033333333333332,3.5733333333333337,4.0233333333333325
167,66,0,3.8033333333333332,3.694444444444444,3.9949999999999997
168,67,0,2.7866666666666666,3.464444444444444,3.5016666666666665
169,68,0,3.026666666666667,3.2055555555555557,3.3894444444444445
170,69,0,3.2000000000000006,3.0044444444444447,3.3494444444444444
171,70,0,3.26,3.1622222222222223,3.313333333333333
172,71,0,3.5866666666666664,3.348888888888889,3.2772222222222225
173,72,0,3.08,3.3088888888888888,3.1566666666666667
174,73,0,3.1566666666666667,3.2744444444444443,3.2183333333333337
175,74,0,3.0666666666666664,3.101111111111111,3.225
176,75,0,3.5533333333333332,3.258888888888889,3.283888888888889
177,76,0,3.6033333333333335,3.4077777777777776,3.341111111111111
178,77,0,3.533333333333333,3.563333333333334,3.332222222222222
179,78,0,3.063333333333333,3.4,3.3294444444444444
180,79,0,3.22,3.272222222222222,3.34
181,80,0,3.626666666666667,3.3033333333333332,3.4333333333333336
182,81,0,3.626666666666667,3.4911111111111115,3.4455555555555555
183,82,0,3.85,3.701111111111111,3.486666666666667
184,83,0,3.856666666666667,3.777777777777778,3.540555555555556
185,84,0,3.3266666666666667,3.6777777777777776,3.5844444444444448
186,85,0,3.516666666666667,3.566666666666667,3.633888888888889
187,86,0,3.5666666666666664,3.47,3.623888888888889
188,87,0,4.076666666666666,3.72,3.6988888888888893
189,88,0,4.3133333333333335,3.9855555555555555,3.776111111111111
190,89,0,4.08,4.156666666666666,3.813333333333333
191,90,0,3.89,4.094444444444444,3.907222222222222
192,91,0,3.936666666666666,3.968888888888889,3.977222222222222
193,92,0,4.133333333333334,3.986666666666667,4.071666666666666
194,93,0,4.486666666666667,4.185555555555555,4.14
195,94,0,4.403333333333333,4.341111111111111,4.155
196,95,0,4.616666666666667,4.502222222222223,4.2444444444444445
197,96,0,4.670000000000001,4.5633333333333335,4.374444444444445
198,97,0,4.363333333333333,4.550000000000001,4.445555555555556
199,98,0,4.36,4.464444444444445,4.483333333333333
200,99,0,4.766666666666667,4.496666666666667,4.53
201,100,0,4.773333333333333,4.633333333333334,4.591666666666667
202,101,0,4.86,4.8,4.6322222222222225
203,102,0,4.836666666666667,4.823333333333333,4.66
204,103,0,4.676666666666667,4.791111111111111,4.7122222222222225
205,104,0,5.21,4.9077777777777785,4.853888888888889
206,105,0,5.26,5.0488888888888885,4.936111111111111
207,106,0,5.640000000000001,5.37,5.080555555555556
208,107,0,5.14,5.346666666666667,5.127222222222223
209,108,0,5.19,5.323333333333333,5.186111111111111
210,109,0,5.1,5.1433333333333335,5.256666666666667
211,110,0,5.13,5.14,5.243333333333333
212,111,0,5.640000000000001,5.29,5.3066666666666675
213,112,0,5.8566666666666665,5.542222222222222,5.342777777777777
214,113,0,5.890000000000001,5.7955555555555565,5.467777777777777
215,114,0,5.8066666666666675,5.851111111111112,5.570555555555555
